Scenario number, Iteration number, Agent number, # of targets collected, # of steps, Agent happiness, Max happiness, Min happiness, Average happiness, Standard deviation of happiness, Agent competitivness
1,1,1,3,692,0.004329004329,0.00721500721501,0.002886002886,0.00519647340457,0.00147223646404,0.333333333333
1,1,2,4,691,0.00578034682081,0.00721500721501,0.002886002886,0.00519647340457,0.00147223646404,0.66859344894
1,1,3,2,692,0.002886002886,0.00721500721501,0.002886002886,0.00519647340457,0.00147223646404,0.0
1,1,4,4,692,0.00577200577201,0.00721500721501,0.002886002886,0.00519647340457,0.00147223646404,0.666666666667
1,1,5,5,692,0.00721500721501,0.00721500721501,0.002886002886,0.00519647340457,0.00147223646404,1.0
1,2,1,4,887,0.0045045045045,0.00563063063063,0.0045045045045,0.00472972972973,0.00045045045045,0.0
1,2,2,4,887,0.0045045045045,0.00563063063063,0.0045045045045,0.00472972972973,0.00045045045045,0.0
1,2,3,4,887,0.0045045045045,0.00563063063063,0.0045045045045,0.00472972972973,0.00045045045045,0.0
1,2,4,4,887,0.0045045045045,0.00563063063063,0.0045045045045,0.00472972972973,0.00045045045045,0.0
1,2,5,5,887,0.00563063063063,0.00563063063063,0.0045045045045,0.00472972972973,0.00045045045045,1.0
1,3,1,4,833,0.00479616306954,0.00600961538462,0.00359712230216,0.00479904537908,0.000762905465214,0.497013142174
1,3,2,4,833,0.00479616306954,0.00600961538462,0.00359712230216,0.00479904537908,0.000762905465214,0.497013142174
1,3,3,4,833,0.00479616306954,0.00600961538462,0.00359712230216,0.00479904537908,0.000762905465214,0.497013142174
1,3,4,3,833,0.00359712230216,0.00600961538462,0.00359712230216,0.00479904537908,0.000762905465214,0.0
1,3,5,5,831,0.00600961538462,0.00600961538462,0.00359712230216,0.00479904537908,0.000762905465214,1.0
1,4,1,1,457,0.00218340611354,0.0109170305677,0.00218340611354,0.00524017467249,0.00326782304522,0.0
1,4,2,5,457,0.0109170305677,0.0109170305677,0.00218340611354,0.00524017467249,0.00326782304522,1.0
1,4,3,3,457,0.00655021834061,0.0109170305677,0.00218340611354,0.00524017467249,0.00326782304522,0.5
1,4,4,1,457,0.00218340611354,0.0109170305677,0.00218340611354,0.00524017467249,0.00326782304522,0.0
1,4,5,2,457,0.00436681222707,0.0109170305677,0.00218340611354,0.00524017467249,0.00326782304522,0.25
1,5,1,5,222,0.0224215246637,0.0224215246637,0.0,0.0107623318386,0.00781865281353,1.0
1,5,2,1,222,0.00448430493274,0.0224215246637,0.0,0.0107623318386,0.00781865281353,0.2
1,5,3,3,222,0.0134529147982,0.0224215246637,0.0,0.0107623318386,0.00781865281353,0.6
1,5,4,0,222,0.0,0.0224215246637,0.0,0.0107623318386,0.00781865281353,0.0
1,5,5,3,222,0.0134529147982,0.0224215246637,0.0,0.0107623318386,0.00781865281353,0.6
1,6,1,5,782,0.00638569604087,0.00638569604087,0.00255754475703,0.0048537822592,0.00125013573269,1.0
1,6,2,4,782,0.00510855683269,0.00638569604087,0.00255754475703,0.0048537822592,0.00125013573269,0.66638225256
1,6,3,4,782,0.00510855683269,0.00638569604087,0.00255754475703,0.0048537822592,0.00125013573269,0.66638225256
1,6,4,2,781,0.00255754475703,0.00638569604087,0.00255754475703,0.0048537822592,0.00125013573269,0.0
1,6,5,4,782,0.00510855683269,0.00638569604087,0.00255754475703,0.0048537822592,0.00125013573269,0.66638225256
1,7,1,3,412,0.00726392251816,0.0121065375303,0.00242130750605,0.00629539951574,0.00328442129933,0.5
1,7,2,5,412,0.0121065375303,0.0121065375303,0.00242130750605,0.00629539951574,0.00328442129933,1.0
1,7,3,1,412,0.00242130750605,0.0121065375303,0.00242130750605,0.00629539951574,0.00328442129933,0.0
1,7,4,2,412,0.00484261501211,0.0121065375303,0.00242130750605,0.00629539951574,0.00328442129933,0.25
1,7,5,2,412,0.00484261501211,0.0121065375303,0.00242130750605,0.00629539951574,0.00328442129933,0.25
1,8,1,3,673,0.00445103857567,0.00741839762611,0.00296735905045,0.00474777448071,0.00145370311144,0.333333333333
1,8,2,3,673,0.00445103857567,0.00741839762611,0.00296735905045,0.00474777448071,0.00145370311144,0.333333333333
1,8,3,3,673,0.00445103857567,0.00741839762611,0.00296735905045,0.00474777448071,0.00145370311144,0.333333333333
1,8,4,5,673,0.00741839762611,0.00741839762611,0.00296735905045,0.00474777448071,0.00145370311144,1.0
1,8,5,2,673,0.00296735905045,0.00741839762611,0.00296735905045,0.00474777448071,0.00145370311144,0.0
1,9,1,3,505,0.00592885375494,0.0098814229249,0.00395256916996,0.00711462450593,0.00201542273265,0.333333333333
1,9,2,4,505,0.00790513833992,0.0098814229249,0.00395256916996,0.00711462450593,0.00201542273265,0.666666666667
1,9,3,2,505,0.00395256916996,0.0098814229249,0.00395256916996,0.00711462450593,0.00201542273265,0.0
1,9,4,5,505,0.0098814229249,0.0098814229249,0.00395256916996,0.00711462450593,0.00201542273265,1.0
1,9,5,4,505,0.00790513833992,0.0098814229249,0.00395256916996,0.00711462450593,0.00201542273265,0.666666666667
1,10,1,5,676,0.00738552437223,0.00738552437223,0.00443131462334,0.00590841949778,0.000934203149237,1.0
1,10,2,4,676,0.00590841949778,0.00738552437223,0.00443131462334,0.00590841949778,0.000934203149237,0.5
1,10,3,3,676,0.00443131462334,0.00738552437223,0.00443131462334,0.00590841949778,0.000934203149237,0.0
1,10,4,4,676,0.00590841949778,0.00738552437223,0.00443131462334,0.00590841949778,0.000934203149237,0.5
1,10,5,4,676,0.00590841949778,0.00738552437223,0.00443131462334,0.00590841949778,0.000934203149237,0.5
2,1,1,5,1905,0.00262329485834,0.00262467191601,0.00262054507338,0.00262274519019,1.4028002127e-06,0
2,1,2,5,1906,0.00262191924489,0.00262467191601,0.00262054507338,0.00262274519019,1.4028002127e-06,0
2,1,3,5,1904,0.00262467191601,0.00262467191601,0.00262054507338,0.00262274519019,1.4028002127e-06,0
2,1,4,5,1907,0.00262054507338,0.00262467191601,0.00262054507338,0.00262274519019,1.4028002127e-06,0
2,1,5,5,1905,0.00262329485834,0.00262467191601,0.00262054507338,0.00262274519019,1.4028002127e-06,0
2,2,1,5,1209,0.00413223140496,0.00413564929694,0.00412881915772,0.0041329161123,2.55590616644e-06,0
2,2,2,5,1208,0.00413564929694,0.00413564929694,0.00412881915772,0.0041329161123,2.55590616644e-06,0
2,2,3,5,1208,0.00413564929694,0.00413564929694,0.00412881915772,0.0041329161123,2.55590616644e-06,0
2,2,4,5,1210,0.00412881915772,0.00413564929694,0.00412881915772,0.0041329161123,2.55590616644e-06,0
2,2,5,5,1209,0.00413223140496,0.00413564929694,0.00412881915772,0.0041329161123,2.55590616644e-06,0
2,3,1,5,948,0.00526870389884,0.00527426160338,0.00526870389884,0.00526981543975,2.22308181386e-06,0
2,3,2,5,948,0.00526870389884,0.00527426160338,0.00526870389884,0.00526981543975,2.22308181386e-06,0
2,3,3,5,948,0.00526870389884,0.00527426160338,0.00526870389884,0.00526981543975,2.22308181386e-06,0
2,3,4,5,948,0.00526870389884,0.00527426160338,0.00526870389884,0.00526981543975,2.22308181386e-06,0
2,3,5,5,947,0.00527426160338,0.00527426160338,0.00526870389884,0.00526981543975,2.22308181386e-06,0
2,4,1,5,993,0.00503018108652,0.00503018108652,0.00503018108652,0.00503018108652,0.0,0
2,4,2,5,993,0.00503018108652,0.00503018108652,0.00503018108652,0.00503018108652,0.0,0
2,4,3,5,993,0.00503018108652,0.00503018108652,0.00503018108652,0.00503018108652,0.0,0
2,4,4,5,993,0.00503018108652,0.00503018108652,0.00503018108652,0.00503018108652,0.0,0
2,4,5,5,993,0.00503018108652,0.00503018108652,0.00503018108652,0.00503018108652,0.0,0
2,5,1,5,1281,0.00390015600624,0.00390625,0.00389711613406,0.00390015885612,3.33521708648e-06,0
2,5,2,5,1282,0.00389711613406,0.00390625,0.00389711613406,0.00390015885612,3.33521708648e-06,0
2,5,3,5,1279,0.00390625,0.00390625,0.00389711613406,0.00390015885612,3.33521708648e-06,0
2,5,4,5,1282,0.00389711613406,0.00390625,0.00389711613406,0.00390015885612,3.33521708648e-06,0
2,5,5,5,1281,0.00390015600624,0.00390625,0.00389711613406,0.00390015885612,3.33521708648e-06,0
2,6,1,5,977,0.00511247443763,0.00511247443763,0.00511247443763,0.00511247443763,0.0,0
2,6,2,5,977,0.00511247443763,0.00511247443763,0.00511247443763,0.00511247443763,0.0,0
2,6,3,5,977,0.00511247443763,0.00511247443763,0.00511247443763,0.00511247443763,0.0,0
2,6,4,5,977,0.00511247443763,0.00511247443763,0.00511247443763,0.00511247443763,0.0,0
2,6,5,5,977,0.00511247443763,0.00511247443763,0.00511247443763,0.00511247443763,0.0,0
2,7,1,5,1842,0.00271296798698,0.00271296798698,0.00271002710027,0.00271149738414,1.31520455676e-06,0
2,7,2,5,1844,0.00271002710027,0.00271296798698,0.00271002710027,0.00271149738414,1.31520455676e-06,0
2,7,3,5,1842,0.00271296798698,0.00271296798698,0.00271002710027,0.00271149738414,1.31520455676e-06,0
2,7,4,5,1843,0.0027114967462,0.00271296798698,0.00271002710027,0.00271149738414,1.31520455676e-06,0
2,7,5,5,1844,0.00271002710027,0.00271296798698,0.00271002710027,0.00271149738414,1.31520455676e-06,0
2,8,1,5,1000,0.004995004995,0.004995004995,0.004995004995,0.004995004995,0.0,0
2,8,2,5,1000,0.004995004995,0.004995004995,0.004995004995,0.004995004995,0.0,0
2,8,3,5,1000,0.004995004995,0.004995004995,0.004995004995,0.004995004995,0.0,0
2,8,4,5,1000,0.004995004995,0.004995004995,0.004995004995,0.004995004995,0.0,0
2,8,5,5,1000,0.004995004995,0.004995004995,0.004995004995,0.004995004995,0.0,0
2,9,1,5,2481,0.00201450443191,0.00201775625504,0.00201450443191,0.0020158047678,1.32079994828e-06,0
2,9,2,5,2481,0.00201450443191,0.00201775625504,0.00201450443191,0.0020158047678,1.32079994828e-06,0
2,9,3,5,2480,0.00201531640468,0.00201775625504,0.00201450443191,0.0020158047678,1.32079994828e-06,0
2,9,4,5,2478,0.00201694231545,0.00201775625504,0.00201450443191,0.0020158047678,1.32079994828e-06,0
2,9,5,5,2477,0.00201775625504,0.00201775625504,0.00201450443191,0.0020158047678,1.32079994828e-06,0
2,10,1,5,1440,0.00346981263012,0.00347222222222,0.003465003465,0.0034688514655,2.45377487026e-06,0
2,10,2,5,1441,0.00346740638003,0.00347222222222,0.003465003465,0.0034688514655,2.45377487026e-06,0
2,10,3,5,1442,0.003465003465,0.00347222222222,0.003465003465,0.0034688514655,2.45377487026e-06,0
2,10,4,5,1439,0.00347222222222,0.00347222222222,0.003465003465,0.0034688514655,2.45377487026e-06,0
2,10,5,5,1440,0.00346981263012,0.00347222222222,0.003465003465,0.0034688514655,2.45377487026e-06,0
3,1,1,1,569,0.00175438596491,0.00875656742557,0.00175131348511,0.0052545549513,0.00292977367641,0.000438596491228
3,1,2,1,570,0.00175131348511,0.00875656742557,0.00175131348511,0.0052545549513,0.00292977367641,0.0
3,1,3,5,570,0.00875656742557,0.00875656742557,0.00175131348511,0.0052545549513,0.00292977367641,1.0
3,1,4,4,570,0.00700525394046,0.00875656742557,0.00175131348511,0.0052545549513,0.00292977367641,0.75
3,1,5,4,570,0.00700525394046,0.00875656742557,0.00175131348511,0.0052545549513,0.00292977367641,0.75
3,2,1,1,276,0.00361010830325,0.0179856115108,0.00361010830325,0.0100797340467,0.00528066692939,0.0
3,2,2,4,277,0.0143884892086,0.0179856115108,0.00361010830325,0.0100797340467,0.00528066692939,0.749774164408
3,2,3,5,277,0.0179856115108,0.0179856115108,0.00361010830325,0.0100797340467,0.00528066692939,1.0
3,2,4,2,276,0.0072202166065,0.0179856115108,0.00361010830325,0.0100797340467,0.00528066692939,0.251129177958
3,2,5,2,277,0.00719424460432,0.0179856115108,0.00361010830325,0.0100797340467,0.00528066692939,0.249322493225
3,3,1,2,436,0.0045766590389,0.0114155251142,0.00456621004566,0.00639687366122,0.00265967131236,0.00152555301297
3,3,2,2,437,0.00456621004566,0.0114155251142,0.00456621004566,0.00639687366122,0.00265967131236,0.0
3,3,3,5,437,0.0114155251142,0.0114155251142,0.00456621004566,0.00639687366122,0.00265967131236,1.0
3,3,4,2,436,0.0045766590389,0.0114155251142,0.00456621004566,0.00639687366122,0.00265967131236,0.00152555301297
3,3,5,3,437,0.00684931506849,0.0114155251142,0.00456621004566,0.00639687366122,0.00265967131236,0.333333333333
3,4,1,5,751,0.00664893617021,0.00664893617021,0.00398936170213,0.00452340425532,0.00106277394413,1.0
3,4,2,3,751,0.00398936170213,0.00664893617021,0.00398936170213,0.00452340425532,0.00106277394413,0.0
3,4,3,3,751,0.00398936170213,0.00664893617021,0.00398936170213,0.00452340425532,0.00106277394413,0.0
3,4,4,3,749,0.004,0.00664893617021,0.00398936170213,0.00452340425532,0.00106277394413,0.004
3,4,5,3,751,0.00398936170213,0.00664893617021,0.00398936170213,0.00452340425532,0.00106277394413,0.0
3,5,1,1,662,0.00150829562594,0.00754147812971,0.00150829562594,0.00452488687783,0.00213305213028,0.0
3,5,2,3,662,0.00452488687783,0.00754147812971,0.00150829562594,0.00452488687783,0.00213305213028,0.5
3,5,3,4,662,0.00603318250377,0.00754147812971,0.00150829562594,0.00452488687783,0.00213305213028,0.75
3,5,4,5,662,0.00754147812971,0.00754147812971,0.00150829562594,0.00452488687783,0.00213305213028,1.0
3,5,5,2,662,0.00301659125189,0.00754147812971,0.00150829562594,0.00452488687783,0.00213305213028,0.25
3,6,1,3,357,0.00837988826816,0.0139664804469,0.0,0.0072625698324,0.00453856894114,0.6
3,6,2,3,357,0.00837988826816,0.0139664804469,0.0,0.0072625698324,0.00453856894114,0.6
3,6,3,5,357,0.0139664804469,0.0139664804469,0.0,0.0072625698324,0.00453856894114,1.0
3,6,4,2,357,0.00558659217877,0.0139664804469,0.0,0.0072625698324,0.00453856894114,0.4
3,6,5,0,357,0.0,0.0139664804469,0.0,0.0072625698324,0.00453856894114,0.0
3,7,1,4,670,0.00596125186289,0.00745156482861,0.00298953662182,0.00536690881468,0.0015170325409,0.666000998502
3,7,2,4,670,0.00596125186289,0.00745156482861,0.00298953662182,0.00536690881468,0.0015170325409,0.666000998502
3,7,3,5,670,0.00745156482861,0.00745156482861,0.00298953662182,0.00536690881468,0.0015170325409,1.0
3,7,4,2,668,0.00298953662182,0.00745156482861,0.00298953662182,0.00536690881468,0.0015170325409,0.0
3,7,5,3,670,0.00447093889717,0.00745156482861,0.00298953662182,0.00536690881468,0.0015170325409,0.332001997004
3,8,1,4,880,0.00454029511918,0.00567536889898,0.00454029511918,0.00476730987514,0.000454029511918,0.0
3,8,2,4,880,0.00454029511918,0.00567536889898,0.00454029511918,0.00476730987514,0.000454029511918,0.0
3,8,3,4,880,0.00454029511918,0.00567536889898,0.00454029511918,0.00476730987514,0.000454029511918,0.0
3,8,4,5,880,0.00567536889898,0.00567536889898,0.00454029511918,0.00476730987514,0.000454029511918,1.0
3,8,5,4,880,0.00454029511918,0.00567536889898,0.00454029511918,0.00476730987514,0.000454029511918,0.0
3,9,1,3,709,0.00422535211268,0.00704225352113,0.00422535211268,0.005071614454,0.00112586879308,0.0
3,9,2,3,708,0.00423131170663,0.00704225352113,0.00422535211268,0.005071614454,0.00112586879308,0.00211565585331
3,9,3,3,709,0.00422535211268,0.00704225352113,0.00422535211268,0.005071614454,0.00112586879308,0.0
3,9,4,5,709,0.00704225352113,0.00704225352113,0.00422535211268,0.005071614454,0.00112586879308,1.0
3,9,5,4,709,0.0056338028169,0.00704225352113,0.00422535211268,0.005071614454,0.00112586879308,0.5
3,10,1,3,620,0.0048309178744,0.00805152979066,0.0048309178744,0.00579710144928,0.00128824476651,0.0
3,10,2,5,620,0.00805152979066,0.00805152979066,0.0048309178744,0.00579710144928,0.00128824476651,1.0
3,10,3,3,620,0.0048309178744,0.00805152979066,0.0048309178744,0.00579710144928,0.00128824476651,0.0
3,10,4,3,620,0.0048309178744,0.00805152979066,0.0048309178744,0.00579710144928,0.00128824476651,0.0
3,10,5,4,620,0.00644122383253,0.00805152979066,0.0048309178744,0.00579710144928,0.00128824476651,0.5
